MPI Parallel Words Count
Number of Porcesses 4 
Rank 0 (MASTER)

Number of files: 1
Total size of files: 838831.00 bytes
Single split size: 209707.000000 bytes


Global Histogram

Word: wrath                    - Count: 3
Word: revealed                 - Count: 27
Word: round                    - Count: 9
Word: orange                   - Count: 9
Word: patience                 - Count: 14
Word: you                      - Count: 203
Word: go                       - Count: 139
Word: crazy                    - Count: 13
Word: please                   - Count: 7
Word: yourself                 - Count: 5
Word: shouted                  - Count: 39
Word: dont                     - Count: 68
Word: try                      - Count: 8
Word: your                     - Count: 68
Word: ideas                    - Count: 6
Word: heads                    - Count: 6
Word: impassive                - Count: 3
Word: let                      - Count: 89
Word: frightened               - Count: 32
Word: seizure                  - Count: 1
Word: rage                     - Count: 23
Word: mashed                   - Count: 2
Word: against                  - Count: 88
Word: floor                    - Count: 25
Word: another                  - Count: 65
Word: gathered                 - Count: 9
Word: demonstrated             - Count: 3
Word: theories                 - Count: 1
Word: none                     - Count: 10
Word: understand               - Count: 45
Word: possibility              - Count: 14
Word: returning                - Count: 9
Word: consistently             - Count: 1
Word: sailing                  - Count: 4
Word: east                     - Count: 4
Word: convinced                - Count: 38
Word: reason                   - Count: 22
Word: straight                 - Count: 12
Word: praise                   - Count: 2
Word: intelligence             - Count: 1
Word: pure                     - Count: 9
Word: astronomical             - Count: 2
Word: speculation              - Count: 1
Word: evolved                  - Count: 1
Word: theory                   - Count: 2
Word: already                  - Count: 65
Word: proved                   - Count: 3
Word: practice                 - Count: 7
Word: although                 - Count: 64
Word: admiration               - Count: 3
Word: gift                     - Count: 5
Word: profound                 - Count: 2
Word: influence                - Count: 7
Word: future                   - Count: 29
Word: laboratory               - Count: 21
Word: alchemist                - Count: 2
Word: 9                        - Count: 2
Word: aged                     - Count: 9
Word: surprising               - Count: 1
Word: rapidity                 - Count: 1
Word: trips                    - Count: 7
Word: seemed                   - Count: 95
Word: same                     - Count: 186
Word: age                      - Count: 67
Word: while                    - Count: 114
Word: latter                   - Count: 17
Word: preserved                - Count: 5
Word: extraordinary            - Count: 6
Word: strength                 - Count: 29
Word: permitted                - Count: 8
Word: pull                     - Count: 6
Word: horse                    - Count: 16
Word: grabbing                 - Count: 1
Word: ears                     - Count: 14
Word: worn                     - Count: 19
Word: dowse                    - Count: 1
Word: tenacious                - Count: 8
Word: illness                  - Count: 4
Word: reality                  - Count: 39
Word: result                   - Count: 5
Word: multiple                 - Count: 2
Word: rare                     - Count: 14
Word: diseases                 - Count: 1
Word: innumerable              - Count: 3
Word: According                - Count: 25
Word: said                     - Count: 298
Word: spoke                    - Count: 33
Word: helping                  - Count: 1
Word: death                    - Count: 136
Word: followed                 - Count: 17
Word: everywhere               - Count: 13
Word: sniffing                 - Count: 1
Word: cuffs                    - Count: 3
Word: pants                    - Count: 18
Word: never                    - Count: 149
Word: deciding                 - Count: 2
Word: give                     - Count: 69
Word: final                    - Count: 27
Word: clutch                   - Count: 1
Word: claws                    - Count: 7
Word: fugitive                 - Count: 3
Word: plagues                  - Count: 1
Word: catastrophes             - Count: 1
Word: ever                     - Count: 83
Word: lashed                   - Count: 1
Word: mankind                  - Count: 3
Word: survived                 - Count: 8
Word: pellagra                 - Count: 1
Word: Persia                   - Count: 2
Word: scurvy                   - Count: 3
Word: Malayan                  - Count: 1
Word: archipelago              - Count: 1
Word: leprosy                  - Count: 1
Word: Alexandria               - Count: 1
Word: beriberi                 - Count: 1
Word: Japan                    - Count: 2
Word: bubonic                  - Count: 1
Word: Madagascar               - Count: 4
Word: earthquake               - Count: 5
Word: Sicily                   - Count: 1
Word: disastrous               - Count: 1
Word: shipwreck                - Count: 3
Word: Strait                   - Count: 1
Word: Magellan                 - Count: 1
Word: prodigious               - Count: 9
Word: creature                 - Count: 10
Word: possess                  - Count: 1
Word: keys                     - Count: 16
Word: Nostradamus              - Count: 6
Word: gloomy                   - Count: 11
Word: enveloped                - Count: 2
Word: sad                      - Count: 30
Word: aura                     - Count: 3
Word: Asiatic                  - Count: 1
Word: know                     - Count: 74
Word: other                    - Count: 184
Word: side                     - Count: 27
Word: tilings                  - Count: 15
Word: wore                     - Count: 19
Word: large                    - Count: 31
Word: black                    - Count: 48
Word: hat                      - Count: 16
Word: looked                   - Count: 79
Word: raven                    - Count: 1
Word: widespread               - Count: 2
Word: wings                    - Count: 7
Word: velvet                   - Count: 13
Word: vest                     - Count: 7
Word: patina                   - Count: 1
Word: centuries                - Count: 7
Word: skated                   - Count: 1
Word: immense                  - Count: 8
Word: wisdom                   - Count: 11
Word: mysterious               - Count: 13
Word: breadth                  - Count: 2
Word: human                    - Count: 28
Word: burden                   - Count: 8
Word: earthly                  - Count: 5
Word: condition                - Count: 11
Word: kept                     - Count: 78
Word: involved                 - Count: 8
Word: problems                 - Count: 5
Word: daily                    - Count: 18
Word: complain                 - Count: 3
Word: ailments                 - Count: 2
Word: old                      - Count: 153
Word: insignificant            - Count: 4
Word: economic                 - Count: 1
Word: difficulties             - Count: 8
Word: stopped                  - Count: 36
Word: laughing                 - Count: 7
Word: because                  - Count: 356
Word: teeth                    - Count: 22
Word: drop                     - Count: 4
Word: suffocating              - Count: 10
Word: noontime                 - Count: 4
Word: secrets                  - Count: 4
Word: certainty                - Count: 19
Word: beginning                - Count: 41
Word: friendship               - Count: 14
Word: startled                 - Count: 34
Word: fantastic                - Count: 10
Word: stories                  - Count: 5
Word: saw                      - Count: 152
Word: sitting                  - Count: 37
Word: metallic                 - Count: 4
Word: quivering                - Count: 2
Word: light                    - Count: 63
Word: window                   - Count: 36
Word: lighting                 - Count: 3
Word: deep                     - Count: 29
Word: organ                    - Count: 5
Word: voice                    - Count: 48
Word: darkest                  - Count: 1
Word: reaches                  - Count: 1
Word: temples                  - Count: 2
Word: flowed                   - Count: 3
Word: grease                   - Count: 6
Word: being                    - Count: 83
Word: melted                   - Count: 6
Word: heat                     - Count: 32
Word: older                    - Count: 19
Word: brother                  - Count: 42
Word: pass                     - Count: 28
Word: wonderful                - Count: 3
Word: image                    - Count: 19
Word: hereditary               - Count: 4
Word: memory                   - Count: 54
Word: descendants              - Count: 6
Word: hand                     - Count: 116
Word: held                     - Count: 32
Word: bad                      - Count: 37
Word: entered                  - Count: 17
Word: just                     - Count: 103
Word: carelessly               - Count: 3
Word: broken                   - Count: 27
Word: flask                    - Count: 2
Word: bichloride               - Count: 1
Word: mercury                  - Count: 8
Word: smell                    - Count: 38
Word: devil                    - Count: 10
Word: corrected                - Count: 3
Word: proven                   - Count: 2
Word: sulphuric                - Count: 1
Word: properties               - Count: 2
Word: corrosive                - Count: 2
Word: sublimate                - Count: 1
Word: didactic                 - Count: 1
Word: exposition               - Count: 1
Word: diabolical               - Count: 2
Word: cinnabar                 - Count: 1
Word: paid                     - Count: 29
Word: off                      - Count: 134
Word: pray                     - Count: 3
Word: biting                   - Count: 4
Word: odor                     - Count: 7
Word: stay                     - Count: 39
Word: forever                  - Count: 25
Word: mind                     - Count: 12
Word: linked                   - Count: 5
Word: mdimentary               - Count: 2
Word: laboratoryin             - Count: 1
Word: profusion                - Count: 2
Word: funnels                  - Count: 1
Word: retorts                  - Count: 1
Word: filters                  - Count: 1
Word: sieveswas                - Count: 1
Word: primitive                - Count: 8
Word: pipe                     - Count: 6
Word: beaker                   - Count: 1
Word: thin                     - Count: 9
Word: reproduction             - Count: 3
Word: philosophers             - Count: 8
Word: egg                      - Count: 7
Word: themselves               - Count: 38
Word: accordance               - Count: 5
Word: modern                   - Count: 5
